Region,Month of Period End,Property Type,Region Type,Seasonally Adjusted,State Code,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,New Listings,New Listings Mom,New Listings Yoy
"La Porte, TX",July 2013,All Residential,Place/City,False,TX,0.963308751,-1.5%,0.0%,51,45.7%,64.5%,152,10.9%,-11.6%,31,-8,-30,$117K,-6.6%,22.7%,59,25.5%,28.3%
"Pasadena, TX",October 2013,All Residential,Place/City,False,TX,0.970761189,0.1%,1.8%,84,5.0%,10.5%,300,0.0%,-13.0%,40,-14,-27,$113K,2.4%,11.7%,95,-2.1%,3.3%
"Baytown, TX",January 2012,All Residential,Place/City,False,TX,0.976250514,0.5%,2.7%,46,-40.3%,-4.2%,397,-4.8%,-18.3%,84,-4,-34,$107K,-8.6%,6.3%,89,20.3%,-17.6%
"Galveston, TX",March 2012,All Residential,Place/City,False,TX,0.907773804,0.1%,6.3%,58,5.5%,5700.0%,629,7.3%,19.8%,80,-10,-515,$135K,-19.6%,23.9%,170,10.4%,71.7%
"League City, TX",April 2012,All Residential,Place/City,False,TX,0.972889868,0.8%,13.1%,139,-0.7%,4533.3%,599,1.0%,14.3%,79,-25,-93,$194K,10.4%,6.8%,217,6.9%,87.1%
"Missouri City, TX",July 2012,All Residential,Place/City,False,TX,0.972042563,0.5%,0.9%,136,-11.1%,33.3%,557,-1.8%,-23.3%,58,4,-19,$200K,6.9%,16.3%,169,-7.1%,-5.6%
"Friendswood, TX",November 2012,All Residential,Place/City,False,TX,0.952789572,-1.7%,-1.5%,60,-10.4%,233.3%,237,-4.0%,-26.2%,74,12,7,$163K,-1.2%,16.5%,45,-34.8%,-13.5%
"La Porte, TX",November 2012,All Residential,Place/City,False,TX,0.988022880,2.2%,3.9%,24,-27.3%,14.3%,125,-12.0%,-24.2%,34,-40,-9,$118K,0.6%,-3.3%,28,-12.5%,-28.2%
"Pasadena, TX",April 2013,All Residential,Place/City,False,TX,0.978027841,0.5%,1.5%,75,27.1%,-15.7%,304,2.4%,-23.2%,42,-10,-15,$115K,12.6%,16.1%,111,14.4%,-9.8%
"Baytown, TX",April 2013,All Residential,Place/City,False,TX,0.962383051,0.7%,0.5%,67,-28.7%,-17.3%,332,-5.7%,-21.1%,141,58,77,$116K,-4.5%,5.3%,105,1.0%,-23.4%
"Houston, TX",September 2013,All Residential,Place/City,False,TX,0.979319290,-0.2%,1.2%,2518,-16.2%,16.8%,7253,0.8%,-18.1%,28,5,-20,$171K,-4.5%,14.8%,2973,-13.0%,16.9%
"La Porte, TX",March 2014,All Residential,Place/City,False,TX,0.950878031,-3.3%,0.2%,35,16.7%,9.4%,100,-15.3%,-16.0%,77,7,17,$115K,-7.2%,2.1%,44,37.5%,-2.2%
"Friendswood, TX",June 2014,All Residential,Place/City,False,TX,0.980785218,0.2%,0.4%,89,-5.3%,-12.7%,173,13.1%,-19.5%,14,-4,-35,$239K,5.8%,18.7%,113,28.4%,15.3%
"La Porte, TX",July 2014,All Residential,Place/City,False,TX,0.984717825,0.8%,2.1%,43,-4.4%,-15.7%,109,2.8%,-28.3%,13,-5,-18,$139K,-2.9%,19.1%,65,6.6%,10.2%
"Pasadena, TX",July 2014,All Residential,Place/City,False,TX,0.982903824,1.0%,-0.1%,95,-5.0%,4.4%,246,6.5%,-13.7%,20,-8,-20,$125K,-1.8%,3.7%,128,10.3%,17.4%
"Baytown, TX",July 2014,All Residential,Place/City,False,TX,0.973403230,-1.3%,-1.0%,86,-12.2%,14.7%,315,13.7%,-9.0%,22,-12,-35,$143K,0.7%,9.6%,138,7.8%,34.0%
"Galveston, TX",July 2014,All Residential,Place/City,False,TX,0.949659370,0.7%,-0.6%,123,-3.1%,16.0%,622,-1.0%,7.1%,85,16,-3,$168K,-1.5%,-2.2%,158,5.3%,51.9%
"Baytown, TX",September 2014,All Residential,Place/City,False,TX,0.977106462,0.2%,1.1%,96,-5.9%,28.0%,317,0.6%,-13.4%,35,14,-12,$150K,3.4%,20.0%,117,-14.0%,9.3%
"Friendswood, TX",December 2014,All Residential,Place/City,False,TX,0.973107053,1.4%,0.2%,72,35.8%,4.3%,110,-15.4%,-30.8%,25,-26,-22,$210K,-20.0%,-3.2%,40,-29.8%,-14.9%
"Texas City, TX",January 2015,All Residential,Place/City,False,TX,0.954562457,0.5%,2.2%,33,-17.5%,50.0%,124,-10.1%,-29.9%,59,8,-41,$82K,-18.9%,-0.2%,44,29.4%,-2.2%
"Friendswood, TX",March 2015,All Residential,Place/City,False,TX,0.974759686,0.7%,-0.8%,60,36.4%,13.2%,97,-2.0%,-40.5%,15,-30,-17,$209K,-15.2%,16.0%,71,16.4%,-17.4%
"Baytown, TX",July 2015,All Residential,Place/City,False,TX,0.974399863,-0.5%,0.1%,112,-1.8%,30.2%,254,8.1%,-19.4%,29,12,7,$156K,0.6%,9.8%,155,20.2%,12.3%
"Sugar Land, TX",October 2015,All Residential,Place/City,False,TX,0.965712743,-0.6%,-1.3%,167,-10.2%,2.5%,557,0.7%,63.3%,42,7,10,$325K,-2.5%,1.6%,206,-2.4%,15.7%
"Pasadena, TX",November 2015,All Residential,Place/City,False,TX,0.980199809,-0.5%,0.0%,60,-24.1%,11.1%,193,-0.5%,6.0%,22,-3,-3,$120K,-13.2%,-4.2%,78,-11.4%,20.0%
"Friendswood, TX",November 2015,All Residential,Place/City,False,TX,0.984154698,0.1%,2.5%,43,-41.9%,-18.9%,144,-1.4%,10.8%,22,4,-29,$200K,-9.1%,-23.7%,44,-33.3%,-22.8%
"Sugar Land, TX",December 2015,All Residential,Place/City,False,TX,0.963377639,-0.4%,-1.3%,171,44.9%,-24.3%,504,-7.5%,62.1%,54,4,24,$315K,-9.3%,-19.0%,115,-24.3%,-26.8%
"Sugar Land, TX",June 2016,All Residential,Place/City,False,TX,0.980611235,1.3%,0.4%,203,8.6%,-16.8%,691,11.1%,25.9%,28,-4,13,$308K,-8.3%,-6.5%,314,11.3%,-3.4%
"Baytown, TX",July 2016,All Residential,Place/City,False,TX,0.986528864,0.8%,1.2%,106,-3.6%,-5.4%,275,-4.2%,8.3%,21,-6,-8,$169K,-1.5%,8.3%,118,-26.7%,-23.9%
"Houston, TX",July 2016,All Residential,Place/City,False,TX,0.974366984,-0.3%,-0.4%,2720,-9.3%,-11.5%,9711,2.2%,16.7%,29,0,8,$215K,0.0%,7.0%,3773,-3.9%,-9.6%
"La Porte, TX",December 2016,All Residential,Place/City,False,TX,0.971072172,-1.5%,0.2%,34,-2.9%,-12.8%,56,-13.8%,-24.3%,22,-8,-19,$167K,4.0%,22.7%,30,-21.1%,42.9%
"Friendswood, TX",January 2017,All Residential,Place/City,False,TX,0.972126324,0.1%,-0.4%,32,-47.5%,-25.6%,170,7.6%,25.9%,33,12,-3,$221K,-8.0%,-17.7%,75,44.2%,7.1%
"Missouri City, TX",March 2017,All Residential,Place/City,False,TX,0.969798300,0.1%,-0.2%,136,33.3%,0.0%,464,7.9%,18.7%,42,-25,1,$258K,0.8%,9.9%,229,47.7%,18.0%
"Pasadena, TX",April 2017,All Residential,Place/City,False,TX,0.973073559,-0.3%,-1.3%,78,-21.2%,-10.3%,160,-3.6%,-2.4%,21,2,6,$146K,4.3%,7.8%,105,-5.4%,-18.0%
"Pasadena, TX",May 2017,All Residential,Place/City,False,TX,0.974919667,0.2%,-0.3%,105,34.6%,10.5%,154,-3.8%,12.4%,14,-7,-3,$152K,4.1%,-2.3%,107,1.9%,-1.8%
"Missouri City, TX",May 2017,All Residential,Place/City,False,TX,0.971586313,-0.4%,-0.2%,177,29.2%,34.1%,572,14.9%,33.3%,35,15,2,$260K,6.1%,3.0%,286,34.9%,42.3%
"Missouri City, TX",June 2017,All Residential,Place/City,False,TX,0.973445682,0.2%,-0.6%,184,4.0%,11.5%,603,5.4%,31.4%,28,-7,7,$258K,-0.9%,7.4%,253,-11.5%,27.1%
"Baytown, TX",September 2017,All Residential,Place/City,False,TX,0.980580397,0.2%,0.5%,91,-2.2%,-18.8%,282,-9.3%,2.2%,17,-1,-13,$173K,0.2%,-1.2%,101,-22.9%,-16.5%
"Pasadena, TX",December 2017,All Residential,Place/City,False,TX,0.981512054,1.2%,0.7%,79,0.0%,-14.1%,129,-13.4%,-23.7%,21,-11,-12,$160K,-5.9%,-2.4%,47,-38.2%,-25.4%
"Baytown, TX",June 2018,All Residential,Place/City,False,TX,0.982653536,0.7%,0.2%,138,20.0%,30.2%,300,5.6%,14.9%,17,-10,-5,$183K,-1.4%,0.7%,151,-13.7%,0.0%
"Baytown, TX",December 2018,All Residential,Place/City,False,TX,0.983531056,1.5%,0.9%,101,12.2%,-18.5%,294,-9.0%,41.3%,49,15,18,$189K,5.0%,-0.8%,65,-45.4%,-4.4%
"Galveston, TX",December 2018,All Residential,Place/City,False,TX,0.957484234,0.1%,0.8%,82,-4.7%,-25.5%,503,-8.2%,-4.4%,76,21,1,$201K,-6.6%,7.4%,89,-7.3%,-20.5%
"Friendswood, TX",July 2019,All Residential,Place/City,False,TX,0.984512748,0.0%,1.0%,90,-6.3%,2.3%,218,1.9%,-18.0%,18,-5,3,$270K,-9.2%,-1.6%,108,2.9%,-10.7%
"Friendswood, TX",January 2020,All Residential,Place/City,False,TX,0.954512125,-2.2%,-1.2%,38,-33.3%,-13.6%,137,4.6%,-33.5%,41,-18,-46,$226K,-16.5%,-16.9%,65,71.1%,-16.7%
"Texas City, TX",February 2020,All Residential,Place/City,False,TX,0.968331996,-1.4%,-1.5%,61,41.9%,-9.0%,256,1.2%,16.4%,70,24,-7,$165K,-17.1%,-5.7%,80,14.3%,8.1%
"Friendswood, TX",August 2020,All Residential,Place/City,False,TX,0.986914919,0.1%,1.2%,95,-10.4%,0.0%,104,-20.6%,-43.5%,15,3,-13,$333K,-0.3%,23.3%,75,-32.4%,5.6%
"La Porte, TX",March 2012,All Residential,Place/City,False,TX,0.970862188,1.1%,1.5%,32,166.7%,18.5%,162,1.9%,-12.4%,98,-29,23,$106K,45.7%,12.2%,49,16.7%,63.3%
"Missouri City, TX",June 2012,All Residential,Place/City,False,TX,0.966970082,-0.5%,0.8%,153,33.0%,28.6%,567,4.6%,-19.9%,54,3,-32,$187K,2.2%,6.9%,182,9.0%,7.7%
"Pasadena, TX",June 2012,All Residential,Place/City,False,TX,0.986697691,1.2%,2.0%,92,24.3%,53.3%,385,2.1%,-23.2%,31,-55,-38,$100K,-12.8%,-12.9%,113,14.1%,-5.0%
"La Porte, TX",June 2012,All Residential,Place/City,False,TX,0.953985210,-3.5%,-1.7%,37,42.3%,23.3%,169,-3.4%,-3.4%,46,7,-18,$100K,-7.4%,-3.4%,45,-10.0%,15.4%
"Texas City, TX",April 2013,All Residential,Place/City,False,TX,0.927478708,-2.0%,-0.2%,31,-6.1%,29.2%,198,1.0%,-13.5%,83,9,13,$76K,5.6%,10.7%,58,16.0%,-1.7%
"Baytown, TX",July 2013,All Residential,Place/City,False,TX,0.983900209,0.7%,0.2%,75,-6.3%,-10.7%,346,-4.9%,-21.7%,57,-20,-12,$130K,5.8%,8.4%,103,-6.4%,-6.4%
"La Porte, TX",September 2013,All Residential,Place/City,False,TX,0.978053699,0.8%,4.4%,36,5.9%,63.6%,148,-2.6%,-6.9%,30,-3,-19,$124K,-2.8%,29.7%,32,-34.7%,-17.9%
"La Porte, TX",February 2014,All Residential,Place/City,False,TX,0.984165168,1.7%,1.6%,30,36.4%,36.4%,118,-9.2%,-0.8%,70,1,-11,$124K,20.3%,17.0%,32,-34.7%,-22.0%
"Texas City, TX",May 2014,All Residential,Place/City,False,TX,0.951122481,-0.9%,-2.1%,51,24.4%,10.9%,154,2.0%,-27.7%,76,0,3,$105K,13.5%,4.3%,54,17.4%,-19.4%
"Houston, TX",August 2014,All Residential,Place/City,False,TX,0.983563254,-0.1%,0.2%,2842,-7.1%,-5.4%,6743,0.9%,-6.3%,19,3,-4,$186K,-4.1%,3.9%,3439,-7.4%,0.6%
"Baytown, TX",November 2014,All Residential,Place/City,False,TX,0.970077869,-1.2%,0.4%,95,-9.5%,69.6%,280,-3.1%,-16.4%,62,25,20,$153K,5.5%,13.3%,94,-13.8%,88.0%
"Sugar Land, TX",December 2014,All Residential,Place/City,False,TX,0.976697122,0.1%,0.1%,226,62.6%,13.0%,311,-2.8%,3.7%,30,2,-5,$389K,17.9%,26.5%,157,-8.2%,26.6%
"Houston, TX",December 2014,All Residential,Place/City,False,TX,0.978707881,0.2%,0.5%,2666,22.0%,4.8%,5975,-5.3%,-1.6%,28,-1,-6,$194K,7.7%,3.1%,2129,-13.8%,9.8%
"Sugar Land, TX",March 2015,All Residential,Place/City,False,TX,0.980342692,0.7%,-0.5%,193,66.4%,2.1%,403,2.3%,32.6%,15,-11,-1,$320K,4.9%,1.9%,240,12.7%,0.4%
"Baytown, TX",March 2015,All Residential,Place/City,False,TX,0.977146543,-0.1%,0.2%,100,42.9%,25.0%,214,-7.8%,-20.4%,51,-24,-1,$158K,1.6%,39.2%,114,25.3%,-3.4%
"La Porte, TX",May 2015,All Residential,Place/City,False,TX,0.970481436,-0.5%,-0.9%,44,37.5%,-8.3%,66,22.2%,-24.1%,16,8,-33,$146K,10.2%,15.5%,52,33.3%,-8.8%
"Baytown, TX",May 2015,All Residential,Place/City,False,TX,0.979633402,1.4%,-0.6%,83,-21.7%,-23.9%,225,5.1%,-11.8%,31,-15,-10,$150K,0.0%,11.1%,127,5.8%,12.4%
"Galveston, TX",June 2015,All Residential,Place/City,False,TX,0.964963812,1.5%,2.2%,127,-4.5%,0.0%,558,-5.9%,-11.1%,65,5,-4,$159K,-10.4%,-6.7%,137,-14.9%,-8.7%
"Baytown, TX",August 2015,All Residential,Place/City,False,TX,0.968444864,-0.6%,-0.6%,109,-2.7%,6.9%,293,15.4%,-7.0%,28,-1,7,$155K,-0.9%,6.9%,150,-3.2%,10.3%
"League City, TX",September 2015,All Residential,Place/City,False,TX,0.978340759,-0.5%,0.5%,205,1.0%,11.4%,389,-4.0%,-10.0%,27,11,-1,$235K,1.3%,10.4%,199,-2.5%,18.5%
"Houston, TX",September 2015,All Residential,Place/City,False,TX,0.973765944,-0.5%,-0.6%,2613,-4.5%,-1.5%,8635,1.2%,31.9%,27,2,4,$190K,-3.1%,5.6%,3283,-7.2%,12.5%
"Pasadena, TX",February 2016,All Residential,Place/City,False,TX,0.971912946,-0.2%,-0.1%,66,17.9%,-7.0%,175,-3.3%,8.0%,47,5,11,$130K,4.4%,23.3%,90,-10.0%,-3.2%
"Baytown, TX",April 2016,All Residential,Place/City,False,TX,0.988648334,0.6%,2.3%,101,-16.5%,-4.7%,257,-4.5%,20.1%,35,-5,-11,$163K,-0.7%,8.3%,119,-13.1%,-0.8%
"Friendswood, TX",May 2016,All Residential,Place/City,False,TX,0.980990180,-0.1%,0.0%,77,4.1%,18.5%,165,-0.6%,32.0%,18,-6,6,$260K,-22.3%,32.0%,89,-7.3%,-3.3%
"Texas City, TX",July 2016,All Residential,Place/City,False,TX,0.990783060,5.0%,4.0%,48,-20.0%,-15.8%,106,-7.0%,-25.4%,19,-5,-35,$118K,-5.1%,-2.1%,50,-36.7%,-12.3%
"La Porte, TX",September 2016,All Residential,Place/City,False,TX,0.986779298,1.4%,0.9%,45,-19.6%,-10.0%,71,2.9%,-22.0%,16,-3,5,$147K,-8.7%,-5.2%,52,0.0%,8.3%
"Texas City, TX",November 2016,All Residential,Place/City,False,TX,0.994871240,-1.2%,5.8%,44,-15.4%,15.8%,104,-9.6%,-9.6%,13,-9,-46,$150K,18.4%,41.2%,40,-33.3%,-9.1%
"Baytown, TX",March 2017,All Residential,Place/City,False,TX,0.978290627,0.3%,-0.4%,115,32.2%,-5.0%,217,-2.3%,-19.3%,25,-28,-15,$170K,-1.4%,3.9%,123,9.8%,-10.2%
"Texas City, TX",March 2017,All Residential,Place/City,False,TX,0.977286535,3.0%,3.1%,42,40.0%,-19.2%,119,-15.0%,21.4%,33,13,-16,$150K,29.2%,18.8%,69,53.3%,0.0%
"Baytown, TX",October 2017,All Residential,Place/City,False,TX,0.975118078,-0.5%,-0.2%,124,36.3%,27.8%,254,-9.9%,-4.2%,35,18,10,$169K,-2.1%,-4.1%,133,31.7%,30.4%
"Pasadena, TX",October 2017,All Residential,Place/City,False,TX,0.972778279,-0.2%,-0.4%,74,-9.8%,-8.6%,157,-10.8%,-15.1%,24,3,-1,$163K,4.6%,16.6%,79,-11.2%,-24.8%
"La Porte, TX",November 2017,All Residential,Place/City,False,TX,0.968007092,0.3%,-1.8%,26,-23.5%,-25.7%,65,-18.8%,0.0%,18,-34,-12,$186K,10.2%,15.4%,30,-25.0%,-21.1%
"Baytown, TX",March 2018,All Residential,Place/City,False,TX,0.981701569,1.9%,0.3%,97,15.5%,-15.7%,249,6.0%,14.7%,21,-8,-4,$185K,2.2%,8.8%,149,20.2%,21.1%
"Sugar Land, TX",June 2018,All Residential,Place/City,False,TX,0.975270450,0.8%,0.9%,234,4.9%,-0.4%,867,10.3%,5.7%,26,-1,0,$347K,11.0%,0.7%,330,-10.3%,-0.6%
"Sugar Land, TX",November 2018,All Residential,Place/City,False,TX,0.967379295,0.1%,0.9%,116,-26.6%,-29.3%,720,-5.5%,-0.4%,44,-7,-30,$288K,-6.5%,-10.4%,155,-19.7%,-1.3%
"Baytown, TX",January 2019,All Residential,Place/City,False,TX,0.957529079,-2.6%,-0.9%,72,-28.7%,-8.9%,301,2.4%,39.4%,53,4,15,$164K,-13.4%,-9.9%,123,89.2%,10.8%
"Texas City, TX",February 2019,All Residential,Place/City,False,TX,0.983241328,-1.3%,1.7%,67,91.4%,52.3%,220,-2.2%,29.4%,77,42,28,$175K,-11.2%,18.2%,74,0.0%,48.0%
"Sugar Land, TX",February 2019,All Residential,Place/City,False,TX,0.963709103,0.1%,-0.7%,102,6.3%,-12.8%,619,0.2%,2.5%,78,16,2,$278K,1.8%,-11.6%,192,11.6%,4.3%
"Friendswood, TX",April 2019,All Residential,Place/City,False,TX,0.984704932,1.7%,0.7%,71,-5.3%,-32.4%,212,-2.3%,21.1%,30,-15,10,$268K,-7.8%,-6.1%,112,5.7%,1.8%
"League City, TX",December 2019,All Residential,Place/City,False,TX,0.976843342,-0.6%,-0.1%,159,0.6%,13.6%,343,-13.8%,-24.3%,51,16,4,$270K,1.9%,2.5%,73,-46.3%,-33.6%
"La Porte, TX",February 2020,All Residential,Place/City,False,TX,0.975113905,-0.9%,-1.4%,48,29.7%,71.4%,122,6.1%,45.2%,42,10,23,$190K,0.0%,3.3%,66,65.0%,29.4%
"League City, TX",March 2020,All Residential,Place/City,False,TX,0.988605469,0.2%,1.4%,160,41.6%,-12.6%,389,10.5%,-13.0%,33,-26,-11,$281K,1.4%,4.1%,244,30.5%,12.4%
"Baytown, TX",April 2012,All Residential,Place/City,False,TX,0.957285354,-0.9%,1.9%,81,42.1%,14.1%,421,12.0%,-22.2%,64,-16,9,$110K,4.3%,0.2%,137,24.5%,25.7%
"Pasadena, TX",February 2012,All Residential,Place/City,False,TX,0.963157468,-1.4%,1.7%,51,8.5%,-12.1%,378,-2.8%,-21.4%,87,6,-5,$93K,2.9%,2.3%,92,9.5%,-5.2%
"Houston, TX",March 2012,All Residential,Place/City,False,TX,0.962493903,0.4%,0.8%,2160,30.7%,6.9%,10077,-0.3%,-24.8%,70,-10,-19,$155K,14.6%,16.8%,3509,19.7%,-6.8%
"Sugar Land, TX",August 2012,All Residential,Place/City,False,TX,0.963788209,-0.2%,0.3%,214,1.4%,21.6%,621,-4.2%,-19.9%,42,7,-20,$221K,-11.6%,-9.2%,213,-19.3%,8.7%
"Friendswood, TX",August 2012,All Residential,Place/City,False,TX,0.963340491,0.4%,0.1%,86,10.3%,138.9%,262,-6.1%,-19.9%,52,7,-11,$191K,2.0%,31.9%,74,-16.9%,10.4%
"Friendswood, TX",June 2013,All Residential,Place/City,False,TX,0.976425530,0.1%,0.7%,102,6.3%,25.9%,215,-4.0%,-24.8%,49,6,-8,$201K,6.2%,-2.0%,98,-6.7%,14.0%
"La Porte, TX",June 2013,All Residential,Place/City,False,TX,0.978032188,0.8%,2.4%,35,-27.1%,-5.4%,137,-5.5%,-18.9%,39,5,-7,$125K,4.1%,24.9%,47,-23.0%,4.4%
"Texas City, TX",August 2013,All Residential,Place/City,False,TX,0.966645772,2.3%,2.0%,29,-17.1%,-27.5%,209,-2.3%,-8.7%,79,27,6,$81K,-3.6%,10.4%,49,-7.5%,-10.9%
"Friendswood, TX",January 2014,All Residential,Place/City,False,TX,0.969648430,-0.1%,0.0%,44,-36.2%,7.3%,151,-5.0%,-30.4%,39,-8,-38,$182K,-15.7%,17.8%,67,42.6%,-10.7%
"League City, TX",February 2014,All Residential,Place/City,False,TX,0.970741730,-0.7%,0.6%,145,40.8%,33.0%,413,3.0%,-13.2%,53,-10,-17,$210K,3.4%,3.9%,197,34.9%,2.1%
"Pasadena, TX",April 2014,All Residential,Place/City,False,TX,0.981604269,0.6%,0.4%,103,56.1%,37.3%,204,-13.6%,-32.9%,34,-18,-8,$120K,-7.8%,4.4%,90,-18.2%,-18.9%
"Sugar Land, TX",May 2014,All Residential,Place/City,False,TX,0.986693766,1.4%,1.9%,191,-5.4%,-31.8%,342,13.6%,-7.6%,14,-3,-8,$315K,3.3%,-1.2%,310,21.1%,-4.0%
"Sugar Land, TX",June 2014,All Residential,Place/City,False,TX,0.990040474,0.3%,1.2%,257,34.6%,-6.5%,390,14.0%,-1.8%,11,-3,-3,$325K,3.2%,19.0%,289,-6.8%,-3.7%
"Missouri City, TX",July 2014,All Residential,Place/City,False,TX,0.983546567,0.1%,0.7%,163,-7.9%,-5.2%,386,1.6%,-8.5%,22,3,-12,$245K,-2.0%,21.7%,192,-9.9%,-10.3%
"La Porte, TX",September 2014,All Residential,Place/City,False,TX,0.966849901,-1.8%,-1.1%,39,-36.1%,8.3%,106,-15.2%,-28.4%,26,2,-4,$125K,-7.4%,1.2%,41,-38.8%,28.1%
"La Porte, TX",December 2014,All Residential,Place/City,False,TX,0.977149756,1.4%,-0.5%,36,-5.3%,5.9%,77,-2.5%,-41.7%,47,3,4,$145K,8.6%,11.1%,26,-7.1%,-3.7%
"Baytown, TX",December 2014,All Residential,Place/City,False,TX,0.962997542,-0.7%,-1.8%,85,-10.5%,16.4%,253,-9.6%,-14.8%,35,-27,-63,$153K,-0.1%,19.0%,56,-40.4%,-9.7%
"Galveston, TX",December 2014,All Residential,Place/City,False,TX,0.945772485,0.0%,-0.1%,80,-7.0%,29.0%,510,-7.6%,-7.8%,128,48,43,$167K,-10.0%,-14.6%,62,-25.3%,-19.5%
"Missouri City, TX",May 2015,All Residential,Place/City,False,TX,0.983256913,0.2%,0.7%,144,0.7%,-11.1%,316,2.3%,-9.5%,20,-6,-12,$245K,-4.8%,3.8%,218,4.8%,0.9%
"League City, TX",August 2015,All Residential,Place/City,False,TX,0.982917776,-0.4%,0.1%,203,-12.5%,-10.2%,405,-2.9%,-11.0%,16,0,-9,$232K,-0.2%,5.6%,204,-20.0%,-7.3%
"Galveston, TX",September 2015,All Residential,Place/City,False,TX,0.952572227,0.7%,-0.6%,106,-6.2%,7.1%,590,-6.5%,-3.0%,54,-11,-33,$183K,5.7%,0.1%,126,-46.6%,-6.0%
"Houston, TX",January 2016,All Residential,Place/City,False,TX,0.965155346,-0.3%,-1.3%,1664,-32.7%,2.8%,8111,2.7%,23.5%,45,7,12,$185K,-7.5%,8.8%,3048,48.5%,-5.0%
"Texas City, TX",March 2016,All Residential,Place/City,False,TX,0.946703264,-0.2%,-2.6%,52,23.8%,20.9%,98,11.4%,-21.6%,49,10,6,$126K,5.2%,9.8%,69,81.6%,40.8%
"Missouri City, TX",March 2016,All Residential,Place/City,False,TX,0.971772443,0.3%,-0.4%,136,33.3%,-0.7%,391,8.3%,35.8%,41,-4,20,$235K,-2.8%,3.9%,194,25.2%,11.5%
"Friendswood, TX",July 2016,All Residential,Place/City,False,TX,0.987848344,0.4%,-0.3%,78,-13.3%,-9.3%,201,2.6%,29.7%,11,-12,-3,$262K,-4.6%,15.6%,106,-2.8%,2.9%
"Missouri City, TX",January 2017,All Residential,Place/City,False,TX,0.969035655,-0.8%,0.0%,88,-37.6%,-4.3%,439,0.7%,23.3%,42,-12,-5,$238K,-0.9%,4.5%,150,35.1%,-12.3%
"Friendswood, TX",June 2017,All Residential,Place/City,False,TX,0.984754904,-0.2%,0.1%,86,14.7%,-4.4%,232,8.4%,18.4%,12,-2,-11,$252K,3.9%,-8.0%,120,-4.8%,10.1%
"Pasadena, TX",September 2017,All Residential,Place/City,False,TX,0.975032094,0.7%,0.3%,82,22.4%,-19.6%,176,-4.9%,1.7%,21,5,1,$156K,-2.5%,11.6%,89,-2.2%,-4.3%
"Missouri City, TX",September 2017,All Residential,Place/City,False,TX,0.969596239,-0.9%,-0.6%,140,45.8%,-2.1%,577,-5.9%,16.3%,53,26,18,$262K,10.7%,12.4%,140,-6.0%,1.4%
"Baytown, TX",November 2017,All Residential,Place/City,False,TX,0.973456948,-0.2%,0.2%,113,-8.9%,32.9%,239,-5.9%,-6.3%,51,16,15,$183K,7.8%,4.3%,106,-20.3%,20.5%
"League City, TX",November 2017,All Residential,Place/City,False,TX,0.981229156,-0.3%,-0.2%,164,13.9%,10.8%,367,-13.2%,-8.3%,54,19,24,$260K,-4.1%,4.2%,141,-6.6%,0.7%
"La Porte, TX",December 2017,All Residential,Place/City,False,TX,0.987919896,2.0%,1.7%,42,61.5%,23.5%,50,-23.1%,-10.7%,37,19,15,$169K,-9.0%,0.9%,21,-30.0%,-30.0%
"Pasadena, TX",May 2018,All Residential,Place/City,False,TX,0.986316974,1.2%,1.1%,91,-2.2%,-13.3%,146,7.4%,-5.2%,9,0,-5,$165K,3.1%,8.6%,118,7.3%,10.3%
"Baytown, TX",July 2018,All Residential,Place/City,False,TX,0.977430945,-0.5%,-0.5%,116,-15.9%,12.6%,338,12.7%,6.0%,25,8,9,$200K,9.1%,5.8%,163,7.9%,-9.4%
"Texas City, TX",November 2018,All Residential,Place/City,False,TX,0.984949776,1.8%,2.2%,58,-15.9%,11.5%,236,-2.5%,26.2%,35,1,-10,$176K,3.4%,14.9%,73,-31.1%,37.7%
"La Porte, TX",May 2019,All Residential,Place/City,False,TX,0.987615136,-0.6%,-0.1%,50,11.1%,35.1%,106,29.3%,71.0%,15,2,8,$192K,-3.8%,11.3%,77,48.1%,37.5%
"Houston, TX",July 2019,All Residential,Place/City,False,TX,0.973227894,-0.3%,0.0%,3134,4.3%,7.9%,11298,1.4%,7.2%,30,2,1,$230K,-5.3%,0.9%,4073,-0.9%,-1.2%
"La Porte, TX",September 2019,All Residential,Place/City,False,TX,0.980661148,0.9%,2.0%,48,-2.0%,14.3%,115,2.7%,66.7%,20,-3,-8,$201K,5.8%,18.2%,55,-8.3%,71.9%
"Sugar Land, TX",January 2020,All Residential,Place/City,False,TX,0.963086758,0.4%,0.0%,98,-41.0%,2.1%,608,-2.3%,-1.6%,68,-8,6,$290K,-6.0%,6.0%,174,72.3%,1.2%
"Pasadena, TX",April 2020,All Residential,Place/City,False,TX,0.974661195,-0.6%,0.0%,63,-12.5%,-32.3%,208,-2.8%,15.6%,19,-2,-14,$182K,1.4%,11.0%,83,-12.6%,-29.7%
"Pasadena, TX",September 2012,All Residential,Place/City,False,TX,0.981734490,2.5%,1.0%,57,-28.8%,0.0%,359,-2.2%,-25.7%,65,9,-21,$112K,10.9%,17.9%,82,-14.6%,1.2%
